DATA,QTD
04-01-2015,41
05-01-2015,194
06-01-2015,49
07-01-2015,403
08-01-2015,205
09-01-2015,130
10-01-2015,115
11-01-2015,70
12-01-2015,47
01-01-2016,3
02-01-2016,4
03-01-2016,89
04-01-2016,92
05-01-2016,104
06-01-2016,48
07-01-2016,53
08-01-2016,94
09-01-2016,89
10-01-2016,118
11-01-2016,84
12-01-2016,84
01-01-2017,3
02-01-2017,4
03-01-2017,5
04-01-2017,136
05-01-2017,91
06-01-2017,63
07-01-2017,79
08-01-2017,140
09-01-2017,134
10-01-2017,116
11-01-2017,70
12-01-2017,25
01-01-2018,3
02-01-2018,4
03-01-2018,5
04-01-2018,25
05-01-2018,79
06-01-2018,67
07-01-2018,17
08-01-2018,52
09-01-2018,43
10-01-2018,39
11-01-2018,43
12-01-2018,7
01-01-2019,3
02-01-2019,4
03-01-2019,5
04-01-2019,6
05-01-2019,37
06-01-2019,46
07-01-2019,57
08-01-2019,54
09-01-2019,59
10-01-2019,40
11-01-2019,44
12-01-2019,42
01-01-2020,3
02-01-2020,4
03-01-2020,5
04-01-2020,73
05-01-2020,118
06-01-2020,102
07-01-2020,109
08-01-2020,109
09-01-2020,116
10-01-2020,134
11-01-2020,64
