DATA,QTD
04-01-2015,41.000
05-01-2015,194.000
06-01-2015,49.000
07-01-2015,403.000
08-01-2015,205.000
09-01-2015,130.000
10-01-2015,115.000
11-01-2015,70.000
12-01-2015,47.000
01-01-2016,1.000
02-01-2016,1.000
03-01-2016,89.000
04-01-2016,92.000
05-01-2016,104.000
06-01-2016,48.000
07-01-2016,53.000
08-01-2016,94.000
09-01-2016,89.000
10-01-2016,118.000
11-01-2016,84.000
01-01-2016,1.000
02-01-2016,1.000
03-01-2016,89.000
04-01-2016,92.000
05-01-2016,104.000
06-01-2016,48.000
07-01-2016,53.000
08-01-2016,94.000
09-01-2016,89.000
10-01-2016,118.000
11-01-2016,84.000
12-01-2016,84.000
01-01-2017,1.000
02-01-2017,1.000
03-01-2017,1.000
04-01-2017,136.000
05-01-2017,91.000
06-01-2017,63.000
07-01-2017,79.000
08-01-2017,140.000
09-01-2017,134.000
10-01-2017,116.000
11-01-2017,70.000
12-01-2017,25.000
01-01-2018,1.000
02-01-2018,1.000
03-01-2018,1.000
04-01-2018,25.000
05-01-2018,79.000
06-01-2018,67.000
07-01-2018,17.000
08-01-2018,52.000
09-01-2018,43.000
10-01-2018,39.000
11-01-2018,43.000
12-01-2018,7.000
01-01-2019,1.000
02-01-2019,1.000
03-01-2019,1.000
04-01-2019,6.000
05-01-2019,37.000
06-01-2019,46.000
07-01-2019,57.000
08-01-2019,54.000
09-01-2019,59.000
10-01-2019,40.000
11-01-2019,44.000
12-01-2019,1.000
01-01-2020,1.000
02-01-2020,1.000
03-01-2020,1.000
04-01-2020,73.000
05-01-2020,118.000
06-01-2020,102.000
07-01-2020,109.000
08-01-2020,109.000
09-01-2020,116.000
10-01-2020,134.000
11-01-2020,64.000
