DATE,Value
01-01-2013,4000
01-02-2013,5000
01-03-2013,3000
01-04-2013,2000
01-05-2013,1000
01-06-2013,500
01-07-2013,2000
01-08-2013,3000
01-09-2013,4000
01-10-2013,5000
01-11-2013,2000
01-12-2013,4000
01-01-2014,6000
01-02-2014,7500
01-03-2014,4500
01-04-2014,3000
01-05-2014,1500
01-06-2014,750
01-07-2014,3000
01-08-2014,4500
01-09-2014,6000
01-10-2014,7500
01-11-2014,3000
01-12-2014,6000
01-01-2015,9000
01-02-2015,11250
01-03-2015,6750
01-04-2015,4500
01-05-2015,2250
01-06-2015,1125
01-07-2015,4500
01-08-2015,6750
01-09-2015,9000
01-10-2015,11250
01-11-2015,4500
01-12-2015,9000
01-01-2016,13500
01-02-2016,16875
01-03-2016,10125
01-04-2016,6750
01-05-2016,3375
01-06-2016,1687,5
01-07-2016,6750
01-08-2016,10125
01-09-2016,13500
01-10-2016,16875
01-11-2016,6750
01-12-2016,13500
01-01-2017,20250
01-02-2017,25312,5
01-03-2017,15187,5
01-04-2017,10125
01-05-2017,5062,5
01-06-2017,2531,25
01-07-2017,10125
01-08-2017,15187,5
01-09-2017,20250
01-10-2017,25312,5
01-11-2017,10125
01-12-2017,20250
01-01-2018,30375
