DATA,QTD
05-01-2015,50
06-01-2015,70
07-01-2015,100
08-01-2015,150
09-01-2015,100
10-01-2015,20
11-01-2015,3
12-01-2015,1
01-01-2016,0
02-01-2016,0
03-01-2016,70
04-01-2016,50
05-01-2016,80
06-01-2016,90
07-01-2016,100
08-01-2016,110
09-01-2016,108
10-01-2016,30
11-01-2016,8
12-01-2016,0
01-01-2017,0
02-01-2017,0
03-01-2017,0
04-01-2017,60
05-01-2017,55
06-01-2017,80
07-01-2017,100
08-01-2017,120
09-01-2017,110
10-01-2017,50
11-01-2017,25
12-01-2017,3
01-01-2018,0
02-01-2018,0
03-01-2018,0
04-01-2018,80
05-01-2018,90
06-01-2018,55
07-01-2018,65
08-01-2018,70
09-01-2018,100
10-01-2018,50
11-01-2018,30
12-01-2018,9
01-01-2019,0
02-01-2019,0
03-01-2019,3
04-01-2019,5
05-01-2019,60
06-01-2019,70
07-01-2019,80
08-01-2019,100
09-01-2019,112
10-01-2019,60
11-01-2019,20
12-01-2019,0
01-01-2020,0
02-01-2020,0
03-01-2020,0
04-01-2020,75
05-01-2020,105
06-01-2020,166
07-01-2020,110
08-01-2020,173
09-01-2020,114
10-01-2020,136
11-01-2020,49
